title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
Puss in Boots: The Last Wish,2022,,102 min,"Joel Crawford, Januel Mercado",7.8,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Antonio Banderas, Salma Hayek, Harvey Guillén"
Madagascar,2005,,86 min,"Eric Darnell, Tom McGrath",6.9,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.","Chris Rock, Ben Stiller, David Schwimmer"
Madagascar 2,2008,,N/A,N/A,6.1,N/A,"Elisa Gabrielli, Jada Pinkett Smith, Ben Stiller"
Madagascar 3,2012,,93 min,"Eric Darnell, Tom McGrath, Conrad Vernon",6.8,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer.","Ben Stiller, Jada Pinkett Smith, Chris Rock"
Madagascar 4,2023,,N/A,Tom McGrath,N/A,Plot is unknown.,Jamiyka
The Jungle Book,1967,,106 min,Jon Favreau,7.3,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","Neel Sethi, Bill Murray, Ben Kingsley"
The Jungle Book,2016,,106 min,Jon Favreau,7.3,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","Neel Sethi, Bill Murray, Ben Kingsley"
Aladdin,2019,,90 min,"Ron Clements, John Musker",8.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Scott Weinger, Robin Williams, Linda Larkin"
The Lion King,2019,,88 min,"Roger Allers, Rob Minkoff",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Matthew Broderick, Jeremy Irons, James Earl Jones"
Beauty and the Beast,2017,,84 min,"Gary Trousdale, Kirk Wise",8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Paige O'Hara, Robby Benson, Jesse Corti"
Cinderella,2015,,105 min,Kenneth Branagh,6.9,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","Lily James, Cate Blanchett, Richard Madden"
Mulan,2020,,87 min,"Tony Bancroft, Barry Cook",7.7,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","Ming-Na Wen, Eddie Murphy, BD Wong"
Pinocchio,1940,,88 min,"Norman Ferguson, T. Hee, Wilfred Jackson",7.5,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","Dickie Jones, Christian Rub, Mel Blanc"
Pinocchio,2022,,88 min,"Norman Ferguson, T. Hee, Wilfred Jackson",7.5,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","Dickie Jones, Christian Rub, Mel Blanc"
Dumbo,1941,,64 min,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson",7.2,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","Sterling Holloway, Edward Brophy, James Baskett"
Dumbo,2019,,64 min,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson",7.2,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","Sterling Holloway, Edward Brophy, James Baskett"
Fantasia,1940,,124 min,"James Algar, Samuel Armstrong, Ford Beebe Jr.",7.7,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.","Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra"
Fantasia 2000,2000,,75 min,"James Algar, Gaëtan Brizzi, Paul Brizzi",7.1,An update of the original film with new interpretations of great works of classical music.,"James Levine, Steve Martin, Itzhak Perlman"
Peter Pan,1953,,77 min,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",7.3,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.","Bobby Driscoll, Kathryn Beaumont, Hans Conried"
Lady and the Tramp,1955,,76 min,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",7.3,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,"Barbara Luddy, Larry Roberts, Peggy Lee"
Lady and the Tramp,2019,,76 min,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",7.3,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,"Barbara Luddy, Larry Roberts, Peggy Lee"
