title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
Transformers: Revenge of the Fallen,2009,,149 min,Michael Bay,6.0,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","Shia LaBeouf, Megan Fox, Josh Duhamel"
Transformers: Dark of the Moon,2011,,154 min,Michael Bay,6.2,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.","Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson"
Transformers: Age of Extinction,2014,,165 min,Michael Bay,5.6,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.","Mark Wahlberg, Nicola Peltz Beckham, Jack Reynor"
Transformers: The Last Knight,2017,,154 min,Michael Bay,5.2,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.","Mark Wahlberg, Anthony Hopkins, Josh Duhamel"
Fast Five,2011,,130 min,Justin Lin,7.3,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,"Vin Diesel, Paul Walker, Dwayne Johnson"
Fast & Furious 6,2013,,130 min,Justin Lin,7.0,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries, but Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.","Vin Diesel, Paul Walker, Dwayne Johnson"
Furious 7,2015,,137 min,James Wan,7.1,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Vin Diesel, Paul Walker, Dwayne Johnson"
The Fate of the Furious,2017,,136 min,F. Gary Gray,6.6,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","Vin Diesel, Jason Statham, Dwayne Johnson"
F9,2021,,143 min,Justin Lin,5.2,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,"Vin Diesel, Michelle Rodriguez, Jordana Brewster"
Jungle Cruise,2021,,127 min,Jaume Collet-Serra,6.5,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"Dwayne Johnson, Emily Blunt, Edgar Ramírez"
Rampage,2018,,107 min,Brad Peyton,6.1,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.","Dwayne Johnson, Naomie Harris, Malin Akerman"
The Rock,1996,,136 min,Michael Bay,7.4,"An FBI chemical weapons expert, and a former SAS soldier turned political prisoner, must break into Alcatraz prison when a rogue military group, led by a renegade general, take it over and threaten a nerve gas attack on San Franci...","Sean Connery, Nicolas Cage, Ed Harris"
Con Air,1997,,115 min,Simon West,6.9,"Former US Army Ranger, Cameron Poe, has just been paroled for manslaughter, but must stop a group of violent and deadly criminals from escaping the country after they seize control of the prison transport plane he is on.","Nicolas Cage, John Cusack, John Malkovich"
The Fifth Element,1997,,126 min,Luc Besson,7.6,"In the colorful future, cabdriver Korben Dallas unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep the great evil and Jean-Baptiste Emmanuel Zorg at bay.","Bruce Willis, Milla Jovovich, Gary Oldman"
War Horse,2011,,146 min,Steven Spielberg,7.2,A young farm boy enlists to serve in World War I after his beloved horse is sold to the cavalry. His hopeful journey takes him out of England and onto the front lines as the war rages on.,"Jeremy Irvine, Emily Watson, David Thewlis"
Dunkirk,2017,,106 min,Christopher Nolan,7.8,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","Fionn Whitehead, Barry Keoghan, Mark Rylance"
1917,2019,,119 min,Sam Mendes,8.2,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Dean-Charles Chapman, George MacKay, Daniel Mays"
Apocalypse Now,1979,,147 min,Francis Ford Coppola,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Martin Sheen, Marlon Brando, Robert Duvall"
Platoon,1986,,120 min,Oliver Stone,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Charlie Sheen, Tom Berenger, Willem Dafoe"
Full Metal Jacket,1987,,116 min,Stanley Kubrick,8.2,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio"
